date,Encoded Products,Monterrey total $,Monterrey ctdad
2022-01-21,24,28478.555,3.5
2022-01-21,10,27385.68,3.5
2022-01-21,109,32321.59,3.5
2022-01-21,4,84655.62,7.0
2022-01-21,3,51524.27,17.5
2022-01-21,2,23669.8,7.0
2022-01-21,25,27401.22,7.0
2022-01-21,23,0.0,0.0
2022-01-21,29,0.0,0.0
2022-01-21,49,0.0,0.0
2022-01-21,13,21403.76,3.5
2022-01-21,14,26555.34,3.5
2022-01-21,18,0.0,0.0
2022-01-21,19,23666.545,7.0
2022-01-21,30,47564.58,3.5
2022-01-21,1,251412.28,241.5
2022-01-21,0,15167.88,7.0
2022-01-21,5,0.0,0.0
2022-01-21,107,11327.47,3.5
2022-01-21,20,26311.25,3.5
2022-01-21,12,32779.81,3.5
2022-01-21,50,46964.715,3.5
2022-01-21,31,60025.14,3.5
2022-01-21,16,56511.49000000001,3.5
2022-01-21,8,67502.225,3.5
2022-01-21,250,0.0,0.0
2022-01-21,87,66384.92,3.5
2022-01-21,92,180283.11,3.5
2022-01-21,247,265517.245,7.0
2022-01-21,68,23821.07,3.5
2022-01-22,22,0.0,0.0
2022-01-22,110,38312.925,7.0
2022-01-22,93,0.0,0.0
2022-01-22,11,40967.255,10.5
2022-01-22,6,39510.45,7.0
2022-01-22,24,0.0,0.0
2022-01-22,42,44985.85,3.5
2022-01-22,9,0.0,0.0
2022-01-22,10,0.0,0.0
2022-01-22,4,43659.42000000001,3.5
2022-01-22,3,83461.56,28.0
2022-01-22,2,72255.68,21.0
2022-01-22,25,13349.315,3.5
2022-01-22,23,0.0,0.0
2022-01-22,226,0.0,0.0
2022-01-22,26,14799.295,3.5
2022-01-22,13,0.0,0.0
2022-01-22,14,0.0,0.0
2022-01-22,7,26404.98,3.5
2022-01-22,27,33718.895,3.5
2022-01-22,30,26265.085,3.5
2022-01-22,230,39210.115,3.5
2022-01-22,1,37971.395,31.5
2022-01-22,17,10012.45,3.5
2022-01-22,0,52606.995,24.5
2022-01-22,5,0.0,0.0
2022-01-22,40,0.0,0.0
2022-01-22,37,0.0,0.0
2022-01-22,20,26311.25,3.5
2022-01-22,12,68496.40000000001,7.0
2022-01-22,62,0.0,0.0
2022-01-22,77,40369.63,3.5
2022-01-22,8,233683.45,10.5
2022-01-22,233,0.0,0.0
2022-01-23,110,0.0,0.0
2022-01-23,11,77542.325,17.5
2022-01-23,6,60809.875,10.5
2022-01-23,32,24139.465,3.5
2022-01-23,24,0.0,0.0
2022-01-23,44,34885.935,3.5
2022-01-23,15,19423.845,3.5
2022-01-23,9,0.0,0.0
2022-01-23,10,30849.98,3.5
2022-01-23,4,39293.485,3.5
2022-01-23,3,11176.655,3.5
2022-01-23,2,61181.53999999999,17.5
2022-01-23,25,28962.535,7.0
2022-01-23,23,0.0,0.0
2022-01-23,28,0.0,0.0
2022-01-23,26,0.0,0.0
2022-01-23,13,0.0,0.0
2022-01-23,19,11833.29,3.5
2022-01-23,46,0.0,0.0
2022-01-23,1,12645.885,10.5
2022-01-23,0,7583.940000000001,3.5
2022-01-23,5,10316.39,3.5
2022-01-23,40,0.0,0.0
2022-01-23,20,0.0,0.0
2022-01-23,43,0.0,0.0
2022-01-23,50,44637.355,3.5
2022-01-23,133,33172.895,3.5
2022-01-23,8,82426.47,3.5
2022-01-24,22,0.0,0.0
2022-01-24,6,0.0,0.0
2022-01-24,32,0.0,0.0
2022-01-24,44,36722.035,3.5
2022-01-24,15,19423.845,3.5
2022-01-24,9,25796.575,3.5
2022-01-24,10,0.0,0.0
2022-01-24,4,35462.35,3.5
2022-01-24,3,20732.67,7.0
2022-01-24,2,59174.5,17.5
2022-01-24,25,0.0,0.0
2022-01-24,23,0.0,0.0
2022-01-24,26,32172.385,7.0
2022-01-24,18,29901.725,3.5
2022-01-24,7,0.0,0.0
2022-01-24,1,46391.8,38.5
2022-01-24,0,30335.76,14.0
2022-01-24,5,0.0,0.0
2022-01-24,40,15171.135,3.5
2022-01-24,21,24279.08,3.5
